DateTime,Category,Property Type,Address,Bedrooms,Bathrooms,Price,Link,Telephone,Managed,Pool,Furnished,zillow Link,zillow Number
15/05/2023 20:09:12,Rent,Condo townhome rowhome coop,2465 Bimini Ln Fort Lauderdale FL 33312,3,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2465-Bimini-Ln_Fort-Lauderdale_FL_33312_M60589-91369"",""https://www.realtor.com/realestateandhomes-detail/2465-Bimini-Ln_Fort-Lauderdale_FL_33312_M60589-91369"")",https://www.realtor.com/realestateandhomes-detail/2465-Bimini-Ln_Fort-Lauderdale_FL_33312_M60589-91369,,,Y,N,"=HYPERLINK(""https://www.zillow.com/b/26.08972,-80.188713_ll/"",""https://www.zillow.com/b/26.08972,-80.188713_ll/"")",
15/05/2023 20:09:33,Rent,Condos,600 W Las Olas Blvd Apt 1905 Fort Lauderdale FL 33312,3,2.5,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1905_Fort-Lauderdale_FL_33312_M51434-84492"",""https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1905_Fort-Lauderdale_FL_33312_M51434-84492"")",https://www.realtor.com/realestateandhomes-detail/600-W-Las-Olas-Blvd-Apt-1905_Fort-Lauderdale_FL_33312_M51434-84492,,,Y,Y,"=HYPERLINK(""https://www.zillow.com/homes/600WLasOlasBlvdApt1905FortLauderdaleFL33312/67846638_zpid/"",""https://www.zillow.com/homes/600WLasOlasBlvdApt1905FortLauderdaleFL33312/67846638_zpid/"")",(201) 446-9526
15/05/2023 20:10:07,Rent,Condos,333 Las Olas Way Apt 1807 Fort Lauderdale FL 33301,2,2.5,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-1807_Fort-Lauderdale_FL_33301_M57201-80028"",""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-1807_Fort-Lauderdale_FL_33301_M57201-80028"")",https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-1807_Fort-Lauderdale_FL_33301_M57201-80028,,,Y,N,"=HYPERLINK(""https://www.zillow.com/b/333-las-olas-way-fort-lauderdale-fl-5XrTdG/"",""https://www.zillow.com/b/333-las-olas-way-fort-lauderdale-fl-5XrTdG/"")",
15/05/2023 20:10:37,Rent,Condos,111 SE 8th Ave Apt 905 Fort Lauderdale FL 33301,2,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/111-SE-8th-Ave-Apt-905_Fort-Lauderdale_FL_33301_M68121-14912"",""https://www.realtor.com/realestateandhomes-detail/111-SE-8th-Ave-Apt-905_Fort-Lauderdale_FL_33301_M68121-14912"")",https://www.realtor.com/realestateandhomes-detail/111-SE-8th-Ave-Apt-905_Fort-Lauderdale_FL_33301_M68121-14912,,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/111SE8thAveApt905FortLauderdaleFL33301/62829876_zpid/"",""https://www.zillow.com/homes/111SE8thAveApt905FortLauderdaleFL33301/62829876_zpid/"")",
15/05/2023 20:10:58,Rent,Condos,333 Las Olas Way Apt 2306 Fort Lauderdale FL 33301,2,2.5,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2306_Fort-Lauderdale_FL_33301_M69103-62457"",""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2306_Fort-Lauderdale_FL_33301_M69103-62457"")",https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2306_Fort-Lauderdale_FL_33301_M69103-62457,,,Y,Y,"=HYPERLINK(""https://www.zillow.com/homes/333LasOlasWayApt2306FortLauderdaleFL33301/63877793_zpid/"",""https://www.zillow.com/homes/333LasOlasWayApt2306FortLauderdaleFL33301/63877793_zpid/"")",(954) 296-9931
15/05/2023 20:11:25,Rent,Condos,350 SE 2nd St Apt 2920 Fort Lauderdale FL 33301,2,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/350-SE-2nd-St-Apt-2920_Fort-Lauderdale_FL_33301_M51945-78454"",""https://www.realtor.com/realestateandhomes-detail/350-SE-2nd-St-Apt-2920_Fort-Lauderdale_FL_33301_M51945-78454"")",https://www.realtor.com/realestateandhomes-detail/350-SE-2nd-St-Apt-2920_Fort-Lauderdale_FL_33301_M51945-78454,,,Y,Y,"=HYPERLINK(""https://www.zillow.com/homes/350SE2ndStApt2920FortLauderdaleFL33301/67838661_zpid/"",""https://www.zillow.com/homes/350SE2ndStApt2920FortLauderdaleFL33301/67838661_zpid/"")",
15/05/2023 20:11:42,Rent,Condos,347 N New River Dr E Apt 610 Fort Lauderdale FL 33301,2,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/347-N-New-River-Dr-E-Apt-610_Fort-Lauderdale_FL_33301_M55164-32599"",""https://www.realtor.com/realestateandhomes-detail/347-N-New-River-Dr-E-Apt-610_Fort-Lauderdale_FL_33301_M55164-32599"")",https://www.realtor.com/realestateandhomes-detail/347-N-New-River-Dr-E-Apt-610_Fort-Lauderdale_FL_33301_M55164-32599,,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/347NNewRiverDrEApt610FortLauderdaleFL33301/63533580_zpid/"",""https://www.zillow.com/homes/347NNewRiverDrEApt610FortLauderdaleFL33301/63533580_zpid/"")",
15/05/2023 20:11:56,Rent,Condos,411 N New River Dr E Apt 2702 Fort Lauderdale FL 33301,2,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/411-N-New-River-Dr-E-Apt-2702_Fort-Lauderdale_FL_33301_M55019-68338"",""https://www.realtor.com/realestateandhomes-detail/411-N-New-River-Dr-E-Apt-2702_Fort-Lauderdale_FL_33301_M55019-68338"")",https://www.realtor.com/realestateandhomes-detail/411-N-New-River-Dr-E-Apt-2702_Fort-Lauderdale_FL_33301_M55019-68338,,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/411NNewRiverDrEApt2702FortLauderdaleFL33301/66127585_zpid/"",""https://www.zillow.com/homes/411NNewRiverDrEApt2702FortLauderdaleFL33301/66127585_zpid/"")",
15/05/2023 20:12:14,Rent,Condos,333 Las Olas Way Apt 2401 Fort Lauderdale FL 33301,2,2,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2401_Fort-Lauderdale_FL_33301_M69004-86983"",""https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2401_Fort-Lauderdale_FL_33301_M69004-86983"")",https://www.realtor.com/realestateandhomes-detail/333-Las-Olas-Way-Apt-2401_Fort-Lauderdale_FL_33301_M69004-86983,,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/333LasOlasWayApt2401FortLauderdaleFL33301/65797524_zpid/"",""https://www.zillow.com/homes/333LasOlasWayApt2401FortLauderdaleFL33301/65797524_zpid/"")",(954) 471-9098
15/05/2023 20:12:30,Rent,Condos,3333 NE 32nd Ave 1105 Fort Lauderdale FL 33308,3,3.5,"=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/3333-NE-32nd-Ave-1105_Fort-Lauderdale_FL_33308_M50842-05138"",""https://www.realtor.com/realestateandhomes-detail/3333-NE-32nd-Ave-1105_Fort-Lauderdale_FL_33308_M50842-05138"")",https://www.realtor.com/realestateandhomes-detail/3333-NE-32nd-Ave-1105_Fort-Lauderdale_FL_33308_M50842-05138,,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/3333NE32ndAve1105FortLauderdaleFL33308/82303123_zpid/"",""https://www.zillow.com/homes/3333NE32ndAve1105FortLauderdaleFL33308/82303123_zpid/"")",
